capacity,demand_scenario,market_condition,replication,dp_revenue,dp_time,saa_revenue,saa_time,revenue_gap,num_eval_paths,eval_seed
3,low,luxury,20,3628.861242589829,41.526206,3131.2060321384624,36.13687825202942,13.713812052405794,1000,20000
3,low,luxury,21,3464.4497956175896,40.551927,3075.570169557278,36.00136184692383,11.224859617022915,1000,21000
3,low,luxury,22,3604.812796781931,42.45044,3081.8511993960774,36.396477937698364,14.507316381386268,1000,22000
3,low,luxury,23,3458.341325490133,41.707562,3055.8751501029797,36.690759897232056,11.637549261570177,1000,23000
3,low,luxury,24,3386.1389290329635,40.377979,3011.7673888360314,35.65955996513367,11.056000596639654,1000,24000
3,low,luxury,25,3529.6101266379287,41.454796,3110.716478370431,36.14374589920044,11.867986356513198,1000,25000
3,low,luxury,26,3497.365376591531,40.599008,3072.4470313996667,35.467586040496826,12.149669806761285,1000,26000
3,low,luxury,27,3497.2605223586115,39.722434,3086.5081220533366,36.32429385185242,11.744975751141826,1000,27000
3,low,luxury,28,3656.5718275894315,43.658416,3116.745187861912,35.79895901679993,14.763189817698619,1000,28000
3,low,luxury,29,3487.1249415402485,41.981203,3044.5174015416783,35.77037715911865,12.69262063787919,1000,29000
3,low,luxury,30,3561.2423525529193,41.814831,3084.8420302916143,36.453654050827026,13.377363153052244,1000,30000
3,low,luxury,31,3357.1678078686846,37.118306,3029.5536951866884,36.838274002075195,9.75864572256767,1000,31000
3,low,luxury,32,3665.818071699386,43.793075,3134.6203287275607,36.204663038253784,14.490564795693059,1000,32000
3,low,luxury,33,3555.4206013446537,40.777633,3073.0244070678227,35.750978231430054,13.567907945810676,1000,33000
3,low,luxury,34,3571.721385677331,43.277259,3092.081927557686,36.19007396697998,13.428803826720866,1000,34000
3,low,luxury,35,3496.7545210004732,41.981947,3048.946387630575,35.801543951034546,12.80639320491316,1000,35000
3,low,luxury,36,3552.7098213565955,41.923149,3068.0626895930222,35.952956199645996,13.64161882431793,1000,36000
3,low,luxury,37,3458.77569025219,40.013783,3044.638709095074,36.13032507896423,11.973513700939659,1000,37000
3,low,luxury,38,3543.041132325032,41.806089,3066.306140976623,36.597638845443726,13.455530815008169,1000,38000
3,low,luxury,39,3516.721797035494,40.194805,3077.5755003507866,36.94563317298889,12.487376654442684,1000,39000
3,low,luxury,40,3567.651657256246,42.554061,3079.4790353776716,35.7893009185791,13.683303998743265,1000,40000
3,low,luxury,41,3488.3944207687314,40.723395,3095.359703153063,35.92072296142578,11.26692312301818,1000,41000
3,low,luxury,42,3545.800968637293,42.22242,3110.9134619312517,36.1844117641449,12.264859493035091,1000,42000
3,low,luxury,43,3658.0302312381914,42.597365,3145.300108113005,35.850401639938354,14.01656330630254,1000,43000
3,low,luxury,44,3410.067197517739,42.452439,3011.193736740864,35.926817893981934,11.696938437671353,1000,44000
3,low,luxury,45,3400.3911039690392,39.044507,3036.908932417229,36.18526101112366,10.68942249400496,1000,45000
3,low,luxury,46,3604.597502769217,43.341445,3147.9858232385373,36.743634939193726,12.667480326996003,1000,46000
3,low,luxury,47,3598.5738907961977,43.495661,3081.9918164492824,37.07126188278198,14.355188750414117,1000,47000
3,low,luxury,48,3454.6418807039768,40.262368,3008.3796379899372,35.37991690635681,12.917756981024658,1000,48000
3,low,luxury,49,3638.9577394457606,43.241414,3087.5682952472607,35.77877688407898,15.152400321155707,1000,49000
3,low,luxury,50,3584.6977163198135,43.480579,3079.325624215653,36.04775094985962,14.098039279668873,1000,50000
3,low,luxury,51,3493.038134302263,40.147486,3062.984796600218,36.18301010131836,12.311727532512284,1000,51000
3,low,luxury,52,3499.220578168583,40.389362,3079.6869902117523,35.8519971370697,11.989343872011792,1000,52000
